t,xp,zp,vxp,vzp,axp,azp,xo,zo,vxo,vzo,axo,azo,xs,zs,vxs,vzs,axs,azs
0.04270833,1.60906100,-1.17845200,-1.32157400,-0.58393580,549.83820000,33.31157000,-3.39651400,5.39241000,0.10000640,-1.11189700,-175.12710000,-120.62790000,-4.96143500,-3.56115200,1.41372400,0.38842450,-5238.50500000,-3121.15400000
0.04375000,1.60630900,-1.18051000,-1.14997000,-1.25204600,191.81120000,-118.71060000,-3.39778500,5.39064900,-0.67090830,-0.80013390,213.81590000,350.30200000,-4.96500300,-3.56125500,-6.23922200,-2.84335400,-4123.59300000,-2315.46300000
0.04479167,1.60666500,-1.18106100,-0.22593790,-0.43864350,554.57980000,350.35700000,-3.39791200,5.39074300,0.76404330,-0.02796066,370.89730000,352.65300000,-4.97443300,-3.56707600,-7.51034100,-5.20491300,3825.82000000,-388.50080000
0.04583333,1.60583800,-1.18142400,-0.42298110,-0.56836490,353.70700000,701.86690000,-3.39619300,5.39059100,0.44841410,-0.21655570,-1356.10700000,-523.61160000,-4.98064900,-3.57209800,1.50646700,-3.35989600,5050.36600000,1289.07300000
0.04687500,1.60578400,-1.18224500,0.60428250,0.73093130,-337.59300000,-237.80550000,-3.39697800,5.39029200,-2.30904900,-1.01748000,-506.36470000,189.26500000,-4.97129500,-3.57407600,5.43292000,-2.12419500,-644.65590000,3063.22200000
0.04791667,1.60709700,-1.17990100,-0.71019530,-0.24234640,376.14890000,87.96179000,-3.40100300,5.38847100,-1.25235600,-0.23698460,674.42210000,701.78970000,-4.96933100,-3.57652400,-1.44232600,2.11110700,-2234.50300000,3527.57600000
0.04895833,1.60430400,-1.18275000,0.30454190,-0.35487870,706.53700000,105.98020000,-3.39958700,5.38979900,0.22642220,1.01751500,169.98230000,460.47050000,-4.97430000,-3.56967700,-0.30437620,6.53692900,2033.67800000,998.29770000
0.05000000,1.60773100,-1.18064000,2.07056000,1.14073800,100.41610000,556.01470000,-3.40053200,5.39059100,-1.50916000,0.47397370,630.43040000,-504.76750000,-4.96996500,-3.56290500,4.49785800,3.91318500,553.79290000,-3572.48600000
0.05104167,1.60861800,-1.18037300,-0.12219620,0.21660690,-1156.80100000,-454.26430000,-3.40273100,5.39078600,1.07452000,-0.04596373,1463.12600000,359.42180000,-4.96492900,-3.56152500,0.87330040,-1.26955300,-4701.18300000,-3695.11900000
0.05208333,1.60747700,-1.18018900,-0.52478190,0.29266900,-1.27039500,99.26934000,-3.39829300,5.39049500,2.75096000,1.01253100,-172.47810000,-16.95736000,-4.96814500,-3.56555000,-6.05244500,-4.11994100,-3398.57300000,-1688.44200000
0.05312500,1.60752500,-1.17976300,0.16078500,0.45558020,743.79030000,425.83610000,-3.39700000,5.39289500,0.00536325,0.56901060,-811.28620000,-61.88384000,-4.97753800,-3.57010800,-6.80445100,-4.47540400,978.34540000,900.00420000
